Title,Year,Release Date,Overview,Keywords
Under the Shadow,2016,2016-09-30,"After Shideh's building is hit by a missile during the Iran-Iraq War, a superstitious neighbor suggests that the missile was cursed and might be carrying malevolent Middle-Eastern spirits. She becomes convinced a supernatural force within the building is attempting to possess her daughter Dorsa, and she has no choice but to confront these forces if she is to save her daughter and herself.","daughter, mother, supernatural, teheran (tehran), iran, family relationships, djinn, bombing, evil, 1980s, supernatural power, iran-iraq war"
Jacob's Ladder,1990,1990-11-02,"After returning home from the Vietnam War, veteran Jacob Singer struggles to maintain his sanity. Plagued by hallucinations and flashbacks, Singer rapidly falls apart as the world and people around him morph and twist into disturbing images. His girlfriend, Jezzie, and ex-wife, Sarah, try to help, but to little avail. Even Singer's chiropractor friend, Louis, fails to reach him as he descends into madness.","vietnam veteran, new york city, post-traumatic stress disorder (ptsd), experiment, nightmare, subway, 1970s, paranoia, hallucination, car bomb, grief, memory, chemist, demon, postal worker, figment of imagination, oneiric, chiropractor"
Impetigore,2019,2019-10-17,"A woman inherits a house in her ancestral village, but she's unaware that members of the community have been trying to locate and kill her to remove the curse that has plagued them for years.","cemetery, pregnancy, village, black magic, gore, cult, abandoned house, puppet master, curse, toll booth, folk horror, remote location, heritage"
Don't Breathe,2016,2016-06-08,A group of teens break into a blind man's home thinking they'll get away with the perfect crime. They're wrong.,"kidnapping, thief, blind, held captive, break in, blind man, trapped in a house"
The Uninvited,1944,1944-02-24,"A brother and sister move into an old seaside house that has been abandoned for many years on the Cornwellian coast only to soon discover that it is haunted by the ghost of the mother of their neighbor's granddaughter, with whom the brother has fallen in love.","sibling relationship, sunrise, based on novel or book, cat, cliff, haunted house, family secrets, cornwall, england, lesbian relationship, apparition, trance, crying, doctor, spirit, dog, old dark house, housekeeper, gothic, madness, vengeful ghost, old house, ghost, séance, brother sister relationship, night, grandfather granddaughter relationship, suspense"
Black Sunday,1960,1960-08-11,"A vengeful witch, Asa Vajda, and her fiendish servant, Igor Jauvitch, return from the grave and begin a bloody campaign to possess the body of the witch's beautiful look-alike descendant, Katia. Only a handsome doctor with the help of family members stand in her way.","witch, vampire, crypt, gothic horror, iron mask"
Good Manners,2017,2017-08-04,"Clara, a lonely nurse from the outskirts of São Paulo, is hired by mysterious and wealthy Ana as the nanny for her unborn child. The two women develop a strong bond, but soon Clara discovers a terrifying secret about the child.",
Candyman,1992,1992-10-16,"The Candyman, a murderous soul with a hook for a hand, is accidentally summoned to reality by a skeptic grad student researching the monster's myth.","based on novel or book, investigation, urban legend, urban, university, evil, candyman, hook for a hand, housing project, urban decay"
The Babadook,2014,2014-05-22,"A single mother, plagued by the violent death of her husband, battles with her son's fear of a monster lurking in the house, but soon discovers a sinister presence all around her.","monster, nightmare, parent child relationship, dysfunctional family, sleeplessness, gay interest, single mother, grieving, woman director, death of spouse, self delusion, self created problems, behavioral disorders, adelaide australia"
The Omen,1976,1976-06-25,"Immediately after their miscarriage, the US diplomat Robert Thorn adopts the newborn Damien without the knowledge of his wife. Yet what he doesn’t know is that their new son is the son of the devil.","ambassador, prophecy, monk, photography, nanny, paranormal phenomena, rottweiler, devil's son, revelation, anti-christ, decapitation, priest, cowardliness, baboon, archaeologist"
[REC],2007,2007-11-23,A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.,"obsession, bite, religion and supernatural, attempt to escape, cinematographer, lodger, live-reportage, found footage, firefighter"
"Butcher, Baker, Nightmare Maker",1981,1981-11-20,"Rejected by her lover, the only man left in Cheryl's life is the orphaned nephew she has raised as her own son. She'll stop at nothing to keep Billy with her. When her plans misfire, she is swept up into an insane frenzy that means death to anyone who comes between her and her obsession. But the investigating detective is convinced that Billy is the real killer - and determined to prove it. Madness and fanaticism work together to drag all concerned into a terrifying vortex of blood-letting that adds a nightmarish twist to the classic Oedipus story.","child abuse, jealousy, police, homophobia, sexuality, obsession, detective, manipulation, aunt, coach, slasher, orphan, incest, mental illness, video nasty, psycho-sexual"
Possessor,2020,2020-10-02,"Tasya Vos, an elite corporate assassin, uses brain-implant technology to take control of other people’s bodies to terminate high profile targets. As she sinks deeper into her latest assignment, Vos becomes trapped inside a mind that threatens to obliterate her.","mind control, gun, dystopia, hallucination, gore, murder, sanity, brutality, machine, tech noir, corporation, assassination attempt, brain implant, body horror, mind parasite, graphic violence"
Goodnight Mommy,2014,2014-10-07,"In the heat of the summer lays a lonesome house in the countryside where nine year old twin brothers await their mother’s return.  When she comes home, bandaged after cosmetic surgery, nothing is like before and the children start to doubt whether this woman is actually who she says she is.","mask, fire, lake, countryside, cat, austria, punishment, arson, priest, torture, bathtub, twins, divorce, mental illness, dream sequence, doppelgänger, graveyard, woman director, mother son relationship, cosmetic surgery, animal mask, brother brother relationship"
The Invisible Man,2020,2020-02-26,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.","based on novel or book, pregnancy, architect, fake suicide, stalker, murder, domestic abuse, scientist, police detective, death, invisible person, mental hospital, woman in peril, invisible man"
Fright Night,1985,1985-08-02,"Charley Brewster, a high school student, accidentally discovers the true and creepy nature of Jerry Dandrige, his dashing and enigmatic new neighbor; but no one seems willing to believe him.","vampire, black humor, vampire hunter (slayer), old house, boyfriend girlfriend relationship, mother son relationship, tv actor"
Split,2016,2017-01-19,"Though Kevin has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher, there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him — as well as everyone around him — as the walls between his compartments shatter apart.","child abuse, kidnapping, gore, sequel, stalking, teenage girl, super power, mental illness, split personality, multiple personality, traumatic childhood, dissociative identity disorder"
Ready or Not,2019,2019-08-21,"When a young bride marries into a ridiculously rich and delightfully deranged family, her wedding night becomes her worst nightmare as she's forced to play a lethal game of hide-and-seek and must fight to stay alive.","escape, ritual, marriage, satanism, games, gore, pact with the devil, wealth, murder, wedding, wedding dress, satanic cult, ironic, death game, absurd"
The Addiction,1995,1995-10-04,A vampiric doctoral student tries to follow the philosophy of a nocturnal comrade and control her thirst for blood.,"new york city, vampire, philosophy, addiction"
Dracula,1931,1931-02-12,"British estate agent Renfield travels to Transylvania to meet with the mysterious Count Dracula, who is interested in leasing a castle in London and is, unbeknownst to Renfield, a vampire. After Dracula enslaves Renfield and drives him to insanity, the pair sail to London together, and as Dracula begins preying on London socialites, the two become the subject of study for a supernaturalist professor, Abraham Van Helsing.","monster, based on novel or book, transylvania, vampire, spider, castle, bat, undead, count, based on play or musical, sanitarium, black and white, pre-code, real estate agent, lunatic, dracula"
Dracula,1958,1958-05-22,"After Jonathan Harker attacks Dracula at his castle, the vampire travels to a nearby city, where he preys on the family of Harker's fiancée. The only one who may be able to protect them is Dr. van Helsing, Harker's friend and fellow-student of vampires, who is determined to destroy Dracula, whatever the cost.","based on novel or book, vampire, victim, vampire hunter (slayer), gothic, technicolor, dracula"
The Lost Boys,1987,1987-07-31,"When an unsuspecting town newcomer is drawn to local blood fiends, the Frog brothers and other unlikely heroes gear up to rescue him.","small town, california, street gang, parent child relationship, vampire, boardwalk, gay interest, single, murder, amusement park, blood sucking, seaside town, pets, 1980s, brother brother relationship, vampires, beach town, gay subtext"
The Descent,2005,2005-07-08,"After a tragic accident, six friends reunite for a caving expedition. Their adventure soon goes horribly wrong when a collapse traps them deep underground and they find themselves pursued by bloodthirsty creatures. As their friendships deteriorate, they find themselves in a desperate struggle to survive the creatures and each other.","panic, darkness, mutant, expedition, cave, claustrophobia, trauma, gore, female friendship, rope, climbing, appalachia, friends, female protagonist, best friend, creature, survival horror, grieving, speleology, camcorder, suspenseful"
The Wolf Man,1941,1941-12-12,"After his brother's death, Larry Talbot returns home to his father and the family estate. Events soon take a turn for the worse when Larry is bitten by a werewolf.","wales, fortune teller, gypsy, wolf, shotgun, transformation, pentagram, full moon, amulet, trap, man beast, wolfman, cane, beautiful woman, werewolf, black and white, antiques shop, lycanthrope, wolf's bane, gypsy camp"
Henry: Portrait of a Serial Killer,1986,1986-09-24,"Henry likes to kill people, in different ways each time. Henry shares an apartment with Otis. When Otis' sister comes to stay, we see both sides of Henry: ""the guy next door"" and the serial killer.","chicago, illinois, prostitute, rape, psychopath, sadistic, biography, based on true story, sister, murder, serial killer, killing spree, incest"
Thirst,2009,2009-04-30,"A respected priest volunteers for an experimental procedure that may lead to a cure for a deadly virus. He gets infected and dies, but a blood transfusion of unknown origin brings him back to life. Now, he’s torn between faith and bloodlust, and has a newfound desire for the wife of a childhood friend.","vampire, priest, self mutilation, childhood friends, blood transfusion, confessional, catholic guilt, lesion, jumping off a building"
Ring,1998,1998-01-31,"A mysterious video has been linked to a number of deaths, and when an inquisitive journalist finds the tape and views it herself, she sets in motion a chain of events that puts her own life in danger.","urban legend, videotape"
Interview with the Vampire,1994,1994-11-11,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.","paris, france, based on novel or book, san francisco, california, vampire, bite, new orleans, louisiana, plantation, louisiana, pity, child vampire, gothic horror, psychotic, 18th century, plague, disturbed, insecure, 19th century, lgbt interest, reluctant vampire, irreverent, negative, sinister, disheartening, disrespectful, frustrated, tragic"
Raw,2016,2016-11-11,"In Justine’s family everyone is a vet and a vegetarian. At 16, she’s a gifted teen ready to take on her first year in vet school, where her older sister also studies. There, she gets no time to settle: hazing starts right away. Justine is forced to eat raw meat for the first time in her life. Unexpected consequences emerge as her true self begins to form.","vegetarian, meat, hazing, university, cannibal, lgbt, peer pressure, woman director, vegetarianism, sister sister relationship"
The Black Cat,1934,1934-05-07,"After a road accident in Hungary, the American honeymooners Joan and Peter and the enigmatic Dr. Werdegast find refuge in the house of the famed architect Hjalmar Poelzig, who shares a dark past with the doctor.","chess, prisoner of war, hungary, black and white, train, storm, psychiatrist, black cat, spiral staircase, high priest, newlywed, pre-code, based on short story, satanic ritual, satanic cult, psychotronic, preserved corpse, female corpse, devil worship, mystery writer, wife murderer, woman in peril, bus crash, europe honeymoon, flaying, glass display cases, gun turret, married to stepdaughter"
10 Cloverfield Lane,2016,2016-03-10,"After a catastrophic car crash, a young woman wakes up in a survivalist's underground bunker, to claims that he saved her from an apocalyptic attack.","kidnapping, paranoia, bunker, basement, survivalist, apocalypse, car accident, captive"
The Cabin in the Woods,2011,2012-04-12,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.","giant snake, school party, motorcycle crash, abandoned house, woods, marijuana, cabin, apocalypse, zombie, werewolf, creature, cabin in the woods, video wall, speaker phone, young adult, college student"
Antichrist,2009,2009-05-20,"A grieving couple retreats to their cabin 'Eden' in the woods, hoping to repair their broken hearts and troubled marriage. But nature takes its course and things go from bad to worse.","depression, suffering, therapist, symbolism, marriage, masochism, controversy, woods, god, cabin, psychological thriller, torture, fear, cruelty, nature, masturbation, guilt, occult, self mutilation, grieving, motherhood, graphic violence"
The House of the Devil,2009,2009-10-30,"A young college student who’s struggling financially takes a strange babysitting job which coincides with a full lunar eclipse. She slowly realizes her clients harbor a terrifying secret, putting her life in mortal danger.","ritual, pentagram, cult, pizza, pay phone, human sacrifice, eclipse, witchcraft, occult, ceremony, satanic ritual, 1980s, gravestone"
Ginger Snaps,2000,2000-12-11,"The story of two outcast sisters, Ginger and Brigitte, in the mindless suburban town of Bailey Downs. On the night of Ginger's first period, she is savagely attacked by a wild creature. Ginger's wounds miraculously heal but something is not quite right. Now Brigitte must save her sister and save herself.","puberty, high school, sibling relationship, transformation, dark comedy, menstruation, coming of age, murder, marijuana, werewolf, ontario, canada, gothic, metamorphosis, body horror"
Near Dark,1987,1987-10-02,A farm boy reluctantly becomes a member of the undead when a girl he meets turns out to be part of a band of vampires who roam the highways in stolen cars.,"farm, small town, vampire, motel, sunlight, victim, kiss, gang leader, femme fatale, redneck, hitchhiker, electronic music score, exploding car, road movie, police raid, woman director, neo-noir, nomad, vampire clan"
The Old Dark House,1932,1932-10-20,"In a remote region of Wales, five travelers beset by a relentless storm find shelter in an old mansion.","wales, based on novel or book, family secrets, social satire, old dark house, madness, pre-code, isolated house, stormy night, creepy house, mute servant, social prejudices"
The Bad Seed,1956,1956-09-12,"Air Force Colonel Kenneth Penmark and his wife, Christine, adore their daughter Rhoda, despite her secret tendency for selfishness. Christine keeps her knowledge of her daughter's darker side to herself, but when a schoolmate of Rhoda's dies mysteriously, her self-deception unravels.","lightning, confession, child murder, murder, lightning bolt, evil child, murder confession"
"Elvira, Mistress of the Dark",1988,1988-09-30,"Arriving in the small town of Fallwell, Massachusetts to claim her inheritance, horror hostess Elvira receives a less than enthusiastic reception from the conservative locals -- amongst them, her sinister uncle Vincent, who, unbeknownst to her, is an evil warlock.",hostess
The People Under the Stairs,1991,1991-11-01,"Trapped inside a fortified home owned by a mysterious couple, a young boy quickly learns the true nature of the homicidal inhabitants, and secret creatures hidden deep within the walls.","child abuse, escape, shotgun, serial killer, landlord, wrongful imprisonment, cannibal, incest, mental illness, break in, guard dog, bad landlord, disfigurement, tarot, greedy developer, neighborhood, landlord tenant relationship, poor kid, murderous pair, trapped in a house, class warfare, in the walls, mother daughter relationship, brother sister relationship, sexual fetish"
Sunshine,2007,2007-04-05,"Fifty years into the future, the sun is dying, and Earth is threatened by arctic temperatures. A team of astronauts is sent to revive the Sun — but the mission fails. Seven years later, a new team is sent to finish the mission as mankind’s last hope.","space marine, saving the world, bomb, sun, space suit, sunlight, space travel, space mission, earth, solar energy, expiration, 2050s, excited"
Society,1989,1989-05-13,Bill is worried that he is 'different' to his sister and parents. They mix with other 'upper class' people while Bill is more down to earth. Even his girlfriend seems a bit odd. All is revealed when Bill returns home to find a party in full swing. Not for the weak of stomach.,"high school, orgy, transformation, secret society, cult, surrealism, human body, psychiatrist"
Mandy,2018,2018-09-13,"The Shadow Mountains, 1983. Red and Mandy lead a loving and peaceful existence; but when their pine-scented haven is savagely destroyed, Red is catapulted into a phantasmagoric journey filled with bloody vengeance and laced with fire.","rescue, nightmare, kidnapping, narcissism, dark comedy, lsd, surrealism, hallucinogen, revenge, grief, murder, russian roulette, animated scene, chainsaw, cabin in the woods, motorcycle, death, lumberjack, cult leader, religious cult, burning corpse, death of girlfriend, 1980s, psychedelic drug, demonic, independent film, blood, biker gang"
The Orphanage,2007,2007-05-20,"A woman brings her family back to her childhood home, which used to be an orphanage, intent on reopening it. Before long, her son starts to communicate with a new invisible friend.","beach, wife, suppressed past, orphanage, cave, medium, haunted house, imaginary friend, gothic horror, missing child, séance, somber"
World War Z,2013,2013-06-19,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.","philadelphia, pennsylvania, new jersey, based on novel or book, dystopia, jerusalem, israel, apocalypse, zombie, epidemic, nuclear weapons, multiple perspectives, zombie apocalypse, virus"
Piranha,1978,1978-08-03,"When flesh-eating piranhas are accidently released into a summer resort's rivers, the guests become their next meal.","fish, experiment, summer camp, river, animal attack, us army, reporter, piranha, tent camp, eugenics, killer fish"
The Last Man on Earth,1964,1964-05-06,"When a disease turns all of humanity into the living dead, the last man on earth becomes a reluctant vampire hunter.","vampire, cigarette, end of the world, zombie, black and white, corpse, disease, dead man, watching tv, antidote, blood transfusion, blindness, graveyard, last man on earth, steak, destroying a car, secret burial, mortal wound, new car, short wave radio, post-apocalyptic"
Freaky,2020,2020-11-12,"A mystical, ancient dagger causes a notorious serial killer to magically switch bodies with a 17-year-old girl.","high school, gore, murder, serial killer, chainsaw, body-swap, high school student, dead father, stabbed"
Voices,2007,2007-08-22,A young woman tries to escape what seems to be a curse that is killing members of her family one by one.,"high school, fencing, wedding party"
The Howling,1981,1981-01-21,"After a bizarre and near fatal encounter with a serial killer, a newswoman is sent to a rehabilitation center whose inhabitants may not be what they seem.","adultery, based on novel or book, shapeshifting, secret society, woods, murder, serial killer, cabin, werewolf, psychiatrist, hunting, newswoman"
Friday the 13th Part 2,1981,1981-05-01,"Five years after the horrible bloodbath at Camp Crystal Lake, new counselors roam the area, not sensing the ominous lurking presence that proves that the grisly legend is real.","new jersey, summer camp, psychopath, sequel, woods, mysterious man, revenge, serial killer, summer, massacre, series of murders, death of mother, teenager"
I Know What You Did Last Summer,1997,1997-10-17,"After an accident on a winding road, four teens make the fatal mistake of dumping their victim's body into the sea. Exactly one year later, the deadly secret resurfaces as they're stalked by a hook-handed figure.","high school, police, blackmail, fisherman, cover-up, friends, revenge, murder, pageant, slasher, killer"
Pumpkinhead,1988,1988-06-09,"When a group of teenagers inadvertently kill his only son, Ed Harley seeks the powers of a backwoods witch to bring the child back to life.","witch, loss of loved one, pumpkin, murder, cabin, demon, based on song, poem or rhyme, evil, storekeeper, vengeance"
We Are Still Here,2015,2015-06-05,"After the death of their college age son, Anne and Paul Sacchetti relocate to the snowswept New England hamlet of Aylesbury, a sleepy village where all is most certainly not as it seems. When strange sounds and eerie feelings convince Anne that her son's spirit is still with them, they invite an eccentric, New Age couple to help them get to the bottom of the mystery.","countryside, supernatural, spirit, ghost, grim, vengeful, frightened"
Street Trash,1987,1987-02-22,"A group of hobos begin melting into multicolored piles of goo after drinking sixty-year-old liquor. At the same time, the psychotic Vietnam War vet who rules the hobo camp snaps and begins killing at random. Two brothers set out to stop the liquor and the killer.","vietnam veteran, post-traumatic stress disorder (ptsd), alcohol, castration, toxic, stealing, shoplifting, liquor store, homeless, melt, morality tale, meltdown, disintegration, poisoned drink, lower class, liquefaction"
The Hallow,2015,2015-11-06,"Deep within the darkness of secluded forest land in rural Ireland dwells an ancient evil. Feared by the nearby superstitious villagers as cursed creatures who prey upon the lost, their secrets have been kept from civilization and remain on their hallowed ground. But when a conservationist from London moves in with his wife and infant child in order to survey the land for future construction, his actions unwittingly disturb the horde of demonic forces. Alone in a remote wilderness, he must now ensure his family's survival from their relentless attacks.","transformation, forest, woods, ireland, killing a dog, changeling, dark fantasy, wildlife conservation, fungus, irish folklore, remote location, contagion, conservationist, irish film, monsters, dead deer, rural ireland"
Prom Night,1980,1980-07-18,"At a high school senior prom, a masked killer stalks four teenagers who were responsible for the accidental death of a classmate six years prior.","high school, dancing, dance, revenge, murder, prom, serial killer, slasher, killer, disco, psycho, red herring"
Urban Legend,1998,1998-09-25,A college campus is plagued by a vicious serial killer murdering students in ways that correspond to various urban legends.,"college, murder, urban legend, slasher, killer, death"
Creep,2014,2014-06-23,"Looking for work, Aaron comes across a cryptic online ad: “$1,000 for the day. Filming service. Discretion is appreciated.” Low on cash and full of naiveté, he decides to go for it. He drives to a cabin in a remote mountain town where he meets Josef, his cinematic subject for the day. Josef is sincere and the project seems heartfelt, so Aaron begins to film. But as the day goes on, it becomes clear that Josef is not who he says, and his intentions are not at all pure.","psychopath, bath, mountain, stalker, woods, dying man, murder, serial killer, cabin, axe murder, found footage, video tape, animal mask, ax"
Dog Soldiers,2002,2002-05-10,"A band of soldiers is dispatched to war games deep in the woods. When they stumble across a rival team slaughtered in camp, they realize they're not alone.","scotland, dark comedy, wilderness, british army, full moon, grenade, forest, werewolf, soldier, survival horror, standoff, molotov cocktail"
Witching & Bitching,2013,2013-09-20,A gang of gold thieves lands in a coven of witches who are preparing for an ancient ritual... and in need of a sacrifice.,
Uzumaki,2000,2000-02-11,The inhabitants of a small Japanese town become increasingly obsessed with and tormented by spirals.,"dying and death, businessman, village, helix, laundromat, based on manga, death"
Relic,2020,2020-07-03,"When elderly mother Edna inexplicably vanishes, her daughter rushes to the family's decaying home, finding clues of her increasing dementia scattered around the house in her absence.","dementia, christmas tree, alzheimer's disease, woods, melbourne, australia, disappearance, old house, missing person, grandmother, christmas, mold, mother daughter relationship"
Skull: The Mask,2020,2020-05-22,The story of an ancient mask that possesses the human form to commit visceral sacrifices of vengeance for the incarnation of its God.,"possession, gore, revenge, human sacrifice, slasher, military weapons, ritual sacrifice, skull mask, vengeance, splatter film, splatter"
The Strangers,2008,2008-05-29,"After a 4 a.m. knock at the door and haunting voices, Kristen McKay and James Hoyt’s remote getaway becomes a psychological night of terror as three masked strangers invade. Now they must go far beyond what they thought themselves capable of if they hope to survive.","mask, murder, slasher, psychological thriller, home invasion"
Superstition,1982,1982-08-26,A witch put to death in 1692 swears vengeance on her persecutors and returns to the present day to punish their descendants.,"witch, fire, child murder, supernatural, haunted house, curse, demon, old dark house, witchcraft"
The Woman in Black,2012,2012-02-03,"The story follows a young lawyer, Arthur Kipps, who is ordered to travel to a remote village and sort out a recently deceased client’s papers. As he works alone in the client’s isolated house, Kipps begins to uncover tragic secrets, his unease growing when he glimpses a mysterious woman dressed only in black. Receiving only silence from the locals, Kipps is forced to uncover the true identity of the Woman in Black on his own, leading to a desperate race against time when he discovers her true identity.","london, england, remake, revenge, lawyer, dead child, photograph, gothic horror, period drama, super power, estate, ghost"
The Final Girls,2015,2015-10-09,"A young woman grieving the loss of her mother, a famous scream queen from the 1980s, finds herself pulled into the world of her mom's most famous movie. Reunited, the women must fight off the film's maniacal killer.","virgin, summer camp, parent child relationship, parody, film in film, murder, spoof, serial killer, camp, slasher, horror spoof, car accident, strip tease, camp counselor, accident, 1980s, horror comedy, camp bloodbath, horror parody"
Paranormal Activity,2007,2007-09-14,"After a young, middle-class couple moves into what seems like a typical suburban house, they become increasingly disturbed by a presence that may or may not be demonic but is certainly the most active in the middle of the night.","haunting, psychic, entity, demonic possession, found footage"
Jeepers Creepers,2001,2001-07-01,"On a desolate country highway, two homeward-bound teens are nearly run off the road by a maniac in a beat-up truck, and later spot him shoving what appears to be a body down a sewer pipe.","monster, brother, mass murder, sister, aftercreditsstinger, cross country trip, rural"
Child's Play,1988,1988-11-09,An innocent-looking doll is inhabited by the soul of a serial killer who refuses to die.,"chicago, illinois, birthday, gun, voodoo, stalker, evil doll, murder, killer doll, serial killer, slasher, explosion, single mother, killer, doll, evil, killer toys, toy comes to life, possessed doll, supernatural power, mother and son, falling out window"
Apostle,2018,2018-09-21,"In 1905, a man travels to a remote island in search of his missing sister who has been kidnapped by a mysterious religious cult.","wales, ransom, gore, cult, murder, religion, prophet, church, praying, folk horror, isolated island, 1900s, father daughter relationship, false prophet"
Jennifer's Body,2009,2009-09-18,"Jennifer, a gorgeous, seductive cheerleader takes evil to a whole new level after she's possessed by a sinister demon. Now it's up to her best friend to stop Jennifer's reign of terror before it's too late.","high school, minnesota, possession, slumber party, gore, sexual murder, teenage girl, demon, rock band, succubus, satanic ritual, candlelight vigil, duringcreditsstinger, woman director, virgin sacrifice, frenemies, bloodthirsty"
Terrified,2017,2018-05-03,Police commissioner Funes and three researchers of supernatural phenomena investigate inexplicable events that are occurring in the suburbs of Buenos Aires.,"buenos aires, argentina, haunted house, suburbia, argentina, dead child, paranormal investigation"
The Hills Have Eyes,1977,1977-07-22,"Taking an ill-advised detour en route to California, the Carter family soon run into trouble when their RV breaks down in the middle of the desert. Stranded, they find themselves at the mercy of monstrous cannibals lurking in the surrounding hills.","rape, government, mutation, murder, cannibal, dog, desert, camper, set on fire"
The Ritual,2017,2017-10-11,"A group of college friends reunite for a trip to the forest, but encounter a menacing presence in the woods that's stalking them.","robbery, monster, based on novel or book, nightmare, sweden, hiking, scandinavia, forest, friends, grief, murder, cabin, guilt, survival horror, pagan, norse mythology, guilty conscience, folk horror, lost in the woods"
Pieces,1982,1982-08-23,A frustrated Boston detective searches for the maniac responsible for mutilating a number of university coeds.,"detective, perversity, childhood trauma, stalker, puzzle, murder, serial killer, slasher, chainsaw, university, killer"
Children of the Corn,1984,1984-03-09,A traveling couple end up in an abandoned Nebraska town inhabited by a cult of murderous children who worship a demon that lives in the local cornfields.,"small town, sacrifice, children gang, human sacrifice, paganism, evil preacher, preacher, based on short story, religious cult, killer child, folk horror, cornfield"
Invaders from Mars,1953,1953-04-22,"In the early hours of the night, young David Maclean sees a flying saucer land and disappear into the sand dunes just beyond his house. Slowly, all of the adults, including his once loving parents, begin to act strangely.","mind control, spacecraft, flying saucer, invasion, alien life-form, alien, ufo, martian, alien invasion, child's point of view, alien possession, sand dune, ray gun, underground cavern, sand pit"
Tourist Trap,1979,1979-03-14,"A telekinetic psychopath lures a group of young people to his ramshackle roadside attraction, unleashing an army of psychically controlled mannequins and other monstrosities upon them.","mask, mannequin, psychopath, museum, cult, friends, murder, slasher, demon, telekinetic, wax"
The Eyes of My Mother,2016,2016-12-02,"A young, lonely woman is consumed by her deepest and darkest desires after tragedy strikes her quiet country life.","death of father, dead body, black and white, death of mother"
Life,2017,2017-03-22,"The six-member crew of the International Space Station is tasked with studying a sample from Mars that may be the first proof of extra-terrestrial life, which proves more intelligent than ever expected.","planet mars, alien life-form, space, astronaut, space station, intelligent, trapped in space, extraterrestrial life, alien on board, death of astronaut"
Monsters,2010,2010-06-18,"Six years ago NASA discovered the possibility of alien life within our solar system. A probe was launched to collect samples, but crashed upon re-entry over Central America. Soon after, new life forms began to appear and half of Mexico was quarantined as an infected zone. Today, the American and Mexican military still struggle to contain ""the creatures,"" while a journalist agrees to escort a shaken tourist through the infected zone in Mexico to the safety of the U.S. border.","mexico, monster, dystopia, pyramid, radio, infection, usa–mexico border, forest, alien, alien invasion, central america, cattle, dead fish, reality vs fantasy, dark secret"
High Tension,2003,2003-06-18,"Best friends Marie and Alexia decide to spend a quiet weekend at Alexia's parents' secluded farmhouse. But on the night of their arrival, the girls' idyllic getaway turns into an endless night of horror.","insanity, mass murder, gore, survival, decapitation, impalement, chainsaw, corpse, massacre, maniac, home invasion, bound and gagged, circular saw, bludgeoning, mutilation, isolated farmhouse, french countryside, bad guy, butchery, new french extremism, extreme, lesbian"
Luz,2018,2019-03-21,"Luz, a young cabdriver, drags herself into the brightly lit entrance of a run-down police station. A demonic entity follows her, determined to finally be close to the woman it loves.","taxi driver, possessed, demon, avant-garde, brechtian, thesis film"
Signs,2002,2002-08-02,A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.,"farm, faith, symbolism, miracle, family relationships, alien, grief, rural area, alien invasion, crop circle, alien attack, death of wife, loss of faith, alien encounter, malicious, aliens"
The Exorcism of Emily Rose,2005,2005-09-09,"When a younger girl called Emily Rose dies, everyone puts blame on the exorcism which was performed on her by Father Moore prior to her death. The priest is arrested on suspicion of murder. The trial begins with lawyer Erin Bruner representing Moore, but it is not going to be easy, as no one wants to believe what Father Moore says is true.","court, epilepsy, possession, based on true story, trial, priest, teenage girl, spirit, umbrella, cross, prosecutor, tape recording  , catholicism, negligent homicide, archdiocese, agnostic, malnutrition, burning, psychotic epileptic disorder"
The Mummy,1932,1932-12-22,An ancient Egyptian priest named Imhotep is revived when an archaeological expedition finds his mummy and one of the archaeologists accidentally reads an ancient life-giving spell. Imhotep escapes from the field site and searches for the reincarnation of the soul of his lover.,"virgin, egypt, excavation, museum, mummy, incantation, reincarnation, buried alive, resurrection, goddess, trance, sorcerer, black and white, african, archaeologist, pre-code, priestess, eternal love, condemned man, buried tomb, ancient curse, ancient scroll"
When a Stranger Calls,1979,1979-09-28,A student babysitter has her evening disturbed when the phone rings. So begins a series of increasingly terrifying and threatening calls that lead to a shocking revelation.,"babysitter, phone call"
Crimson Peak,2015,2015-10-13,"In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds… and remembers.","psychopath, poison, haunted house, mining, murder, gothic, incest, ghost, old mansion, brutal murder"
